country;Annual_temp
AF;12,92145452
AO;21,51093269
AL;11,26980007
AE;26,82560888
AR;14,21522492
AM;6,374361625
AU;21,50667634
AT;6,186012748
AZ;12,22434447
BI;20,26609974
BE;9,514241274
BJ;27,46155267
BF;28,17636051
BD;25,4709131
BG;10,39676164
BS;25,06333351
BA;9,016531835
BY;6,294930099
BZ;25,06433296
BO;20,97503004
BR;24,91577183
BN;25,93400002
BT;8,57504293
BW;21,47853885
CF;24,83925494
CA;-7,144579613
CH;4,749057397
CL;8,369828303
CN;6,325663982
CI;26,29971557
CM;24,52785039
CD;24,03883683
CG;24,52032734
CO;24,40381182
KM;23,98699951
CR;23,85092872
CU;25,13007697
CY;18,71350002
CZ;7,665499973
DE;8,504451892
DJ;27,64300019
DK;7,818978497
DO;23,92974985
DZ;22,57579114
EC;21,32904646
EG;22,12045302
ER;26,06832509
EH;23,39021498
ES;13,02547607
EE;5,030938424
ET;22,37039295
FI;1,347861143
FJ;23,37100029
FK;5,789775013
FR;10,54372223
GA;24,99982139
GB;8,310239139
GE;7,3648176
GH;27,25177926
GN;25,5476409
GP;25,02499962
GM;26,772
GW;26,60800037
GQ;24,12599966
GR;13,65550198
GT;23,07117961
GF;25,6195926
GY;25,79536357
HN;23,38608334
HR;10,47091069
HT;24,47507682
HU;10,06144773
ID;25,71897008
IN;23,94543419
IE;9,107924359
IR;16,92655784
IQ;21,57999357
IS;1,351408623
IL;19,69800023
IT;11,5006943
JM;24,46899986
JO;18,35282849
JP;10,36272594
KZ;5,987870514
KE;24,49946529
KG;1,093056123
KH;26,93950004
KR;10,65980231
XK;8,424016637
KW;25,15349984
LA;23,21746666
LB;15,61349988
LR;25,2524195
LY;21,89996952
LK;26,75522735
LS;11,97447515
LT;6,244905105
LU;8,88189983
LV;5,626625729
MA;17,2250961
MD;9,667174936
MG;22,01356848
MX;20,54469315
MK;9,853518182
ML;28,29987354
MM;22,95692088
ME;7,906949917
MN;-0,49904369
MZ;23,68935959
MR;27,69289724
MU;23,12700081
MW;21,97876318
MY;25,13883809
NA;20,03803485
NC;21,96499983
NE;27,23872952
NG;26,78221455
NI;24,58878273
NL;9,201737643
NO;0,753892466
NP;12,74394041
NZ;9,975832156
OM;25,45410276
PK;19,9810149
PA;24,72233335
PE;19,45650895
PH;25,32667419
PG;25,053585
PL;7,868831915
PR;24,27766673
KP;4,856629418
PT;14,97038087
PY;23,48019004
QA;26,9173336
RE;21,07600021
RO;8,811245525
RU;-6,321294479
RW;19,01189995
SA;24,65100734
SD;26,82433383
SN;27,87320583
SJ;-9,142713983
SB;25,67630043
SL;26,0437999
SV;24,77087498
SO;26,76684425
RS;10,17899356
SS;26,92792645
SR;25,76608164
SK;7,269396131
SI;8,04021112
SE;1,546350562
SZ;20,41380005
SY;17,64578075
TD;26,65074126
TG;26,79911137
TH;26,24988821
TJ;3,025248465
TM;15,21978049
TL;24,96599992
TT;25,8625002
TN;19,36345617
TR;10,93360648
TZ;22,30580982
UG;22,59584155
UA;8,205565565
UY;17,5674857
US;6,754627068
UZ;12,51938331
VC;26,81999969
VE;25,31845425
VI;25,74300003
VN;24,06964913
VU;23,84049988
YE;23,15716874
ZA;17,59687334
ZM;21,58413197
ZW;21,03138971
